identifier	name	definition	synonyms	alts	parents	species
GFDL-1.1	GNU Free Documentation License v1.1				spdx.term:ListedLicense	
GFDL-1.1-invariants-only	GNU Free Documentation License v1.1 only - invariants				spdx.term:ListedLicense	
GFDL-1.1-invariants-or-later	GNU Free Documentation License v1.1 or later - invariants				spdx.term:ListedLicense	
GFDL-1.1-no-invariants-only	GNU Free Documentation License v1.1 only - no invariants				spdx.term:ListedLicense	
GFDL-1.1-no-invariants-or-later	GNU Free Documentation License v1.1 or later - no invariants				spdx.term:ListedLicense	
GFDL-1.1-only	GNU Free Documentation License v1.1 only				spdx.term:ListedLicense	
GFDL-1.1-or-later	GNU Free Documentation License v1.1 or later				spdx.term:ListedLicense	
GFDL-1.2	GNU Free Documentation License v1.2				spdx.term:ListedLicense	
GFDL-1.2-invariants-only	GNU Free Documentation License v1.2 only - invariants				spdx.term:ListedLicense	
GFDL-1.2-invariants-or-later	GNU Free Documentation License v1.2 or later - invariants				spdx.term:ListedLicense	
GFDL-1.2-no-invariants-only	GNU Free Documentation License v1.2 only - no invariants				spdx.term:ListedLicense	
GFDL-1.2-no-invariants-or-later	GNU Free Documentation License v1.2 or later - no invariants				spdx.term:ListedLicense	
GFDL-1.2-only	GNU Free Documentation License v1.2 only				spdx.term:ListedLicense	
GFDL-1.2-or-later	GNU Free Documentation License v1.2 or later				spdx.term:ListedLicense	
GFDL-1.3	GNU Free Documentation License v1.3				spdx.term:ListedLicense	
GFDL-1.3-invariants-only	GNU Free Documentation License v1.3 only - invariants				spdx.term:ListedLicense	
GFDL-1.3-invariants-or-later	GNU Free Documentation License v1.3 or later - invariants				spdx.term:ListedLicense	
GFDL-1.3-no-invariants-only	GNU Free Documentation License v1.3 only - no invariants				spdx.term:ListedLicense	
GFDL-1.3-no-invariants-or-later	GNU Free Documentation License v1.3 or later - no invariants				spdx.term:ListedLicense	
GFDL-1.3-only	GNU Free Documentation License v1.3 only				spdx.term:ListedLicense	
GFDL-1.3-or-later	GNU Free Documentation License v1.3 or later				spdx.term:ListedLicense	
GL2PS	GL2PS License				spdx.term:ListedLicense	
GLWTPL	Good Luck With That Public License				spdx.term:ListedLicense	
GPL-1.0	GNU General Public License v1.0 only				spdx.term:ListedLicense	
GPL-1.0+	GNU General Public License v1.0 or later				spdx.term:ListedLicense	
GPL-1.0-only	GNU General Public License v1.0 only				spdx.term:ListedLicense	
GPL-1.0-or-later	GNU General Public License v1.0 or later				spdx.term:ListedLicense	
GPL-2.0	GNU General Public License v2.0 only				spdx.term:ListedLicense	
GPL-2.0+	GNU General Public License v2.0 or later				spdx.term:ListedLicense	
GPL-2.0-only	GNU General Public License v2.0 only				spdx.term:ListedLicense	
GPL-2.0-or-later	GNU General Public License v2.0 or later				spdx.term:ListedLicense	
GPL-2.0-with-GCC-exception	GNU General Public License v2.0 w/GCC Runtime Library exception				spdx.term:ListedLicense	
GPL-2.0-with-autoconf-exception	GNU General Public License v2.0 w/Autoconf exception				spdx.term:ListedLicense	
GPL-2.0-with-bison-exception	GNU General Public License v2.0 w/Bison exception				spdx.term:ListedLicense	
GPL-2.0-with-classpath-exception	GNU General Public License v2.0 w/Classpath exception				spdx.term:ListedLicense	
